what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319869700424
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319869704478
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319872272198
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319872277672
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319872461775
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319872462773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319883315397
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319883315878
error,log,,,"Problems saving workspace",1319883323154
error,log,,,"Problems occurred while trying to save the state of the workbench.",1319883323185
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1319883323679
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1319883323831
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1319892903023
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1319892903024
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1319892903053
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1319892903054
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1319892903054
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1319892903066
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1319892903077
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1319892903092
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1319892903138
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1319892903156
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1319892903166
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1319892903181
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1319892903193
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1319892903212
